file,area,brightness,centroid_x,centroid_y
nasa_0.png,1.0,129,56.0,107.0
nasa_0.png,117.0,16114,17.256410256410255,115.52991452991454
nasa_0.png,14.0,1875,30.714285714285715,115.28571428571429
nasa_0.png,6.0,812,35.833333333333336,115.0
nasa_0.png,270.0,36897,62.0,115.5
nasa_0.png,162.0,22109,100.0,115.5
nasa_0.png,287.0,38774,139.41811846689896,115.50522648083624
nasa_0.png,178.0,23934,180.51123595505618,115.50561797752809
nasa_0.png,128.0,16968,208.7265625,115.453125
nasa_0.png,137.0,18057,237.3941605839416,115.51824817518248
nasa_0.png,52.0,6884,255.90384615384616,115.53846153846153
nasa_0.png,79.0,10441,269.1645569620253,115.41772151898734
nasa_0.png,49.0,6468,283.40816326530614,115.44897959183673
nasa_0.png,45.0,5898,293.8,115.6
nasa_0.png,62.0,8145,306.4032258064516,115.64516129032258
nasa_0.png,146.0,19072,333.472602739726,115.71232876712328
nasa_0.png,2.0,259,352.5,113.0
nasa_0.png,5.0,650,358.0,113.0
nasa_0.png,2.0,261,368.5,113.0
nasa_0.png,2.0,259,377.5,113.0
nasa_0.png,1.0,129,383.0,113.0
nasa_0.png,3.0,387,397.0,113.0
nasa_0.png,1.0,134,408.0,113.0
nasa_0.png,4.0,523,415.5,113.0
nasa_0.png,2.0,261,422.5,113.0
nasa_0.png,1.0,133,441.0,113.0
nasa_0.png,3.0,389,465.0,113.0
nasa_0.png,1.0,131,468.0,113.0
nasa_0.png,1.0,130,474.0,113.0
nasa_0.png,2.0,262,481.5,113.0
nasa_0.png,1.0,130,487.0,113.0
nasa_0.png,1.0,130,506.0,113.0
nasa_0.png,8.0,1032,523.5,113.0
nasa_0.png,1.0,129,531.0,113.0
nasa_0.png,1.0,131,561.0,113.0
nasa_0.png,1.0,129,580.0,113.0
nasa_0.png,1.0,131,315.0,115.0
nasa_0.png,14.0,1825,357.5,116.57142857142857
nasa_0.png,1.0,129,365.0,115.0
nasa_0.png,1.0,131,369.0,115.0
nasa_0.png,3.0,393,377.0,115.0
nasa_0.png,25.0,3275,395.0,115.0
nasa_0.png,2.0,259,409.5,115.0
nasa_0.png,1.0,129,417.0,115.0
nasa_0.png,1.0,130,422.0,115.0
nasa_0.png,20.0,2604,433.35,115.15
nasa_0.png,15.0,1943,456.0,115.0
nasa_0.png,3.0,392,467.6666666666667,115.33333333333333
nasa_0.png,1.0,130,474.0,115.0
