tile_index,type,area,brightness_sum,max_pixel,centroid_y,centroid_x
1,star,9.5,2907.04638671875,254.97450256347656,618.0350877192982,452.38596491228066
1,planet,43.5,8164.05224609375,254.97450256347656,613.7279693486589,430.48659003831415
1,star,19.0,3372.81103515625,191.05340576171875,595.0,411.5
1,planet,31.5,3944.584228515625,128.21200561523438,586.7248677248676,504.5185185185185
1,comet,186.0,28964.66796875,213.9197998046875,584.1030465949821,353.3163082437276
1,planet,26.0,5344.99365234375,234.9517059326172,568.3397435897435,112.61538461538461
1,comet,116.5,20456.625,253.50160217285156,572.5479256080114,303.0600858369099
1,galaxy,774.0,117300.1953125,254.97450256347656,576.921834625323,468.33807062876826
1,star,6.0,1404.146240234375,172.05130004882812,552.5,348.0
1,comet,151.0,24491.302734375,254.97450256347656,544.0584988962472,538.2295805739514
1,star,8.5,2028.3218994140625,229.1645965576172,536.4313725490196,256.4313725490196
1,star,11.0,1545.8892822265625,104.70490264892578,536.1818181818181,479.8636363636364
1,comet,96.5,16510.404296875,225.08799743652344,537.7962003454231,351.96027633851463
1,planet,49.5,8220.7900390625,208.32249450683594,512.7205387205387,190.56902356902356
1,planet,21.5,3414.824951171875,172.552001953125,502.6821705426356,364.62015503875966
1,planet,21.0,3500.98583984375,184.7790069580078,499.18253968253964,195.76984126984124
1,star,7.0,1798.187255859375,225.47329711914062,486.0,0.9047619047619048
1,planet,21.5,3602.76904296875,185.9250030517578,471.5271317829457,616.7906976744187
1,star,10.0,2284.17333984375,228.61000061035156,441.0,508.5
1,comet,246.0,37848.76953125,234.8332061767578,448.1144986449864,563.4932249322493
1,star,9.0,2356.60986328125,229.006103515625,433.5,263.5
1,star,11.5,2289.948974609375,192.7751007080078,418.07246376811594,153.55072463768116
1,planet,29.5,5040.8896484375,219.5601043701172,349.9943502824858,281.9943502824858
1,planet,33.0,6177.92431640625,242.26220703125,316.3787878787879,14.090909090909092
1,planet,40.0,6663.0673828125,201.18150329589844,291.05,246.8
1,star,8.5,1272.6357421875,112.44210052490234,287.4313725490196,94.56862745098039
1,planet,35.0,4406.22802734375,140.9871063232422,282.87142857142857,563.5142857142857
1,star,13.0,2660.552001953125,218.64390563964844,271.03846153846155,554.9615384615385
1,star,18.0,2408.52294921875,114.71769714355469,272.1666666666667,65.33333333333333
1,star,12.0,2703.81201171875,213.29400634765625,267.0,9.0
1,comet,272.0,34431.0234375,222.82650756835938,253.80759803921566,371.5845588235294
1,galaxy,745.0,97721.0625,254.08859252929688,266.07114093959734,84.45212527964205
1,planet,27.5,4975.1005859375,208.21279907226562,238.38787878787878,3.1515151515151514
1,star,14.0,2672.05810546875,194.29400634765625,222.0,611.5
1,comet,94.5,13759.5146484375,236.84359741210938,223.62433862433863,541.4550264550264
1,star,11.5,2505.13720703125,200.91299438476562,214.55072463768113,227.0724637681159
1,star,8.5,1717.287353515625,180.17359924316406,184.5686274509804,419.4313725490196
1,star,13.0,2674.705078125,178.3218994140625,168.66666666666666,213.3846153846154
1,planet,29.0,3999.502685546875,145.39810180664062,161.01149425287355,454.7586206896552
1,planet,37.5,6174.4306640625,219.27349853515625,160.47555555555556,584.9288888888889
1,star,10.0,1810.7784423828125,157.3656005859375,143.6,79.9
1,star,6.0,1806.5233154296875,222.69679260253906,125.5,163.0
1,comet,124.0,19436.8203125,247.98599243164062,122.96370967741936,26.971774193548388
1,planet,28.5,5709.921875,243.70269775390625,87.49707602339181,475.81871345029236
1,star,6.0,1829.45703125,221.98370361328125,69.0,523.5
1,planet,25.5,4606.3154296875,240.8433074951172,55.94771241830065,316.32026143790847
1,planet,31.5,5091.755859375,204.595703125,31.962962962962962,606.4338624338624
1,star,14.0,3228.065673828125,252.12449645996094,31.0,23.0
1,planet,34.0,5239.5244140625,178.87060546875,27.323529411764707,168.52941176470588
1,planet,24.0,4355.51416015625,224.5657958984375,22.54861111111111,441.5
1,planet,23.5,3439.17626953125,174.4622039794922,21.00709219858156,150.94326241134752
1,planet,21.5,3911.43359375,192.22830200195312,15.643410852713178,40.224806201550386
1,comet,141.5,24340.828125,224.6708984375,17.249705535924615,195.7585394581861
1,planet,33.0,6789.71142578125,252.32760620117188,5.141414141414141,528.939393939394
1,comet,57.5,11747.087890625,248.4635009765625,2.373913043478261,332.2202898550724
2,planet,20.0,3774.982177734375,167.45559692382812,609.8416666666666,1187.5
2,comet,54.5,10320.0009765625,191.16360473632812,607.4250764525993,1199.7003058103974
2,comet,123.0,23375.9921875,244.33290100097656,562.1829268292682,658.9850948509485
2,comet,282.5,55172.5546875,248.5175018310547,558.2306784660767,765.3410029498525
2,comet,55.0,11399.95703125,243.2021026611328,548.0030303030303,972.0454545454545
2,planet,20.5,4344.34912109375,220.67449951171875,534.5284552845528,1122.6991869918697
2,galaxy,371.0,62737.96875,252.07350158691406,525.1904761904761,1189.884995507637
2,galaxy,327.5,65073.40625,251.43089294433594,492.0921119592875,1231.6585241730281
2,star,10.0,2497.629150390625,195.68679809570312,470.7333333333333,621.3333333333334
2,planet,30.0,7360.291015625,229.8488006591797,469.0,882.9611111111111
2,galaxy,572.5,112232.3671875,254.97450256347656,474.71819505094606,733.2066957787482
2,star,8.5,2301.398193359375,210.0789031982422,450.56862745098033,1221.4313725490197
2,galaxy,1309.5,231432.1875,254.97450256347656,472.2209494718085,1191.9787450680922
2,star,12.5,2883.857421875,188.78680419921875,448.9333333333333,680.0266666666666
2,planet,22.0,4250.541015625,176.1439971923828,431.0,848.1136363636364
2,comet,147.0,31424.34765625,254.97450256347656,430.2562358276644,961.2176870748299
2,planet,45.0,11097.6142578125,254.97450256347656,412.2703703703703,1064.7333333333333
2,star,11.0,2901.56494140625,229.8271942138672,409.5,689.0
2,comet,65.5,11885.75390625,234.9084930419922,412.26972010178116,718.0101781170483
2,planet,35.5,7381.00341796875,241.41949462890625,404.47417840375584,1221.4741784037558
2,star,8.0,2147.207763671875,202.9512939453125,399.0,846.0
2,comet,144.0,27328.16796875,245.17579650878906,392.50694444444446,959.2685185185185
2,galaxy,369.0,71271.953125,247.343505859375,381.13956639566396,850.5578139114724
2,comet,83.0,18387.0625,252.61570739746094,362.6686746987952,1140.6807228915663
2,star,8.5,2648.177001953125,250.51260375976562,355.4313725490196,734.4313725490196
2,galaxy,619.5,98054.0078125,254.29049682617188,345.1353241861716,832.6602098466506
2,comet,53.0,10492.5576171875,237.63259887695312,311.5660377358491,909.0094339622642
2,planet,23.5,4727.1591796875,192.5717010498047,294.97163120567376,1053.9858156028367
2,comet,101.0,21868.658203125,253.20269775390625,290.55445544554453,982.019801980198
2,planet,27.0,6124.81494140625,241.67520141601562,270.62345679012344,1236.3024691358023
2,galaxy,1700.0,281014.1875,253.77890014648438,287.7649019607843,1107.6910784313725
2,galaxy,498.0,79073.703125,233.9658966064453,276.5170682730924,946.6703480589022
2,star,15.0,3784.728271484375,216.72979736328125,251.0,1036.0
2,comet,56.0,11328.708984375,249.05050659179688,248.79166666666666,834.4732142857142
2,comet,129.0,22928.62890625,228.04209899902344,244.93540051679585,692.4354005167959
2,comet,110.0,22085.83984375,254.97450256347656,235.31515151515148,805.0378787878788
2,planet,22.0,5375.8896484375,222.69679260253906,191.86363636363637,995.0454545454545
2,star,14.5,4101.8701171875,254.97450256347656,187.94252873563218,776.9425287356322
2,planet,34.5,8206.22265625,254.97450256347656,171.02415458937196,767.56038647343
2,planet,23.0,6055.9228515625,254.97450256347656,171.0,1200.927536231884
2,star,12.0,4238.9345703125,254.97450256347656,152.5,1227.0
2,comet,76.0,15717.0078125,254.97450256347656,148.19078947368422,1120.9320175438595
2,star,18.0,3753.64599609375,187.73399353027344,127.14814814814814,850.7037037037037
2,comet,127.5,26602.27734375,254.97450256347656,114.65359477124181,868.0457516339869
2,star,6.0,2171.68212890625,219.58169555664062,100.0,1238.5
2,planet,36.0,8432.8037109375,200.85589599609375,86.11111111111111,651.8611111111111
2,comet,100.5,23333.96875,251.43089294433594,85.91873963515754,1172.8059701492539
2,star,16.0,4980.177734375,254.97450256347656,62.0,1198.0
2,planet,24.5,5204.3271484375,183.19200134277344,60.986394557823125,848.6394557823129
2,star,15.5,3644.84619140625,209.06039428710938,47.27956989247311,1062.6666666666665
3,comet,72.5,15118.078125,238.64779663085938,616.2137931034483,1322.0735632183907
3,star,15.5,3865.6806640625,249.94720458984375,611.0537634408602,1307.0537634408602
3,star,8.0,2161.255859375,226.060302734375,609.5,1684.5
3,planet,40.0,9016.6103515625,248.19700622558594,583.7875,1768.7375
3,star,14.5,2572.1162109375,187.09339904785156,576.0574712643677,1522.942528735632
3,planet,23.0,4168.20703125,194.29930114746094,564.5652173913044,1351.586956521739
3,comet,67.0,13457.953125,253.20269775390625,564.6890547263681,1688.7238805970148
3,star,11.0,2596.00048828125,227.5408935546875,555.3939393939394,1571.0
3,planet,25.0,5502.173828125,221.1717987060547,555.34,1546.6
3,comet,68.0,14482.6259765625,252.9145965576172,540.4558823529412,1341.2818627450981
3,comet,203.0,29191.4140625,207.74609375,531.7775041050903,1473.3752052545155
3,planet,22.0,4566.486328125,221.26710510253906,504.90909090909093,1244.8560606060605
3,star,12.0,2554.1708984375,171.54429626464844,501.3333333333333,1686.6666666666667
3,star,8.5,1800.8575439453125,179.72860717773438,501.43137254901956,1619.4313725490197
3,star,14.0,3000.968505859375,204.4134063720703,496.0,1454.5
3,star,10.0,2046.2977294921875,167.40469360351562,482.1,1465.6
3,comet,131.5,21294.796875,191.21029663085938,480.78580481622305,1242.8022813688212
3,star,15.0,3795.516845703125,254.97450256347656,466.0,1428.888888888889
3,star,8.0,1752.026123046875,181.960693359375,462.5,1689.5
3,star,17.5,3226.240478515625,201.84890747070312,458.647619047619,1631.8
3,comet,73.5,11034.060546875,185.30369567871094,450.9387755102041,1716.2426303854875
3,comet,60.5,9658.826171875,198.16619873046875,441.8347107438017,1433.1735537190082
3,comet,230.0,39516.953125,231.91969299316406,433.7101449275362,1535.6478260869565
3,planet,36.0,5869.7705078125,194.18649291992188,421.7638888888889,1653.4351851851852
3,star,11.0,2218.687744140625,185.97720336914062,417.5,1486.0
3,star,6.0,1116.7518310546875,127.25599670410156,412.5,1471.0
3,star,11.0,2767.902099609375,221.5677032470703,407.5,1761.0
3,planet,20.5,5040.080078125,254.97450256347656,404.4715447154471,1553.30081300813
3,comet,67.0,12938.0322265625,232.76220703125,406.5820895522388,1489.641791044776
3,comet,103.0,18879.26171875,253.2135009765625,399.8770226537216,1445.388349514563
3,star,16.0,2884.6513671875,196.27020263671875,395.0,1659.5
3,planet,30.0,6626.46923828125,251.72979736328125,377.9166666666667,1510.1555555555556
3,planet,21.5,3519.434814453125,174.84930419921875,365.84496124031006,1769.984496124031
3,planet,34.5,7442.21630859375,241.38710021972656,367.14009661835746,1705.9613526570047
3,galaxy,340.0,59270.125,244.0771942138672,376.0622549019607,1371.063725490196
3,comet,67.5,11793.1298828125,235.71910095214844,359.64444444444445,1655.7975308641976
3,planet,23.5,5115.19970703125,236.6802978515625,353.9432624113475,1624.5248226950355
3,star,14.0,3108.76025390625,250.22450256347656,348.0,1617.0
3,comet,281.5,48137.0,252.9145965576172,341.7685020722321,1579.3682652457076
3,planet,37.5,7698.900390625,231.32339477539062,334.7955555555555,1309.1644444444444
3,galaxy,313.0,47596.25,222.27960205078125,340.58732694355695,1281.8716719914803
3,comet,66.5,12984.5146484375,254.97450256347656,332.65162907268166,1754.9899749373433
3,planet,28.0,5113.919921875,230.47900390625,313.0,1378.0
3,comet,75.5,13614.78515625,233.17529296875,315.0551876379691,1337.935982339956
3,planet,38.0,7948.13623046875,248.50669860839844,273.5131578947368,1582.298245614035
3,star,10.5,1826.06591796875,136.8468017578125,267.8253968253968,1267.6507936507937
3,star,19.0,3259.1923828125,138.181396484375,260.5438596491228,1274.157894736842
3,galaxy,1930.5,297655.9375,253.50160217285156,280.38340671674,1307.2691012691012
3,star,6.0,2063.881103515625,249.3278045654297,247.0,1549.5
3,star,14.0,3314.1279296875,238.1208038330078,232.41666666666666,1712.5
3,star,6.0,1591.485595703125,192.1033935546875,203.5,1701.0
3,planet,20.5,4870.2314453125,254.97450256347656,172.55284552845526,1369.4471544715448
3,planet,22.0,5314.23974609375,243.49020385742188,167.5,1612.0
3,planet,20.0,3422.1435546875,168.74240112304688,134.7,1323.65
3,comet,111.5,21531.556640625,254.67559814453125,120.26307922272046,1430.2765321375186
